Config_ID,units_1,units_2,units_3,dropout,lr,batch_size,Gap_Size,MAE,RMSE,MAPE (%)
0,128,64,16,0.3,0.0005,64,150,1.273458728,1.78276684,7.112682743
0,128,64,16,0.3,0.0005,64,300,1.43059247,1.935463636,7.45501842
0,128,64,16,0.3,0.0005,64,450,1.804775547,2.257143642,8.696651977
0,128,64,16,0.3,0.0005,64,600,1.851878298,2.324053444,8.964908595
1,128,64,32,0.2,0.001,64,150,3.162649972,4.083038713,18.11056936
1,128,64,32,0.2,0.001,64,300,3.256819077,3.933737178,17.39377184
1,128,64,32,0.2,0.001,64,450,3.071827444,3.696663675,15.51642244
1,128,64,32,0.2,0.001,64,600,2.878555469,3.47205059,14.42130809
2,64,64,16,0.3,0.0005,64,150,1.275509238,1.584287769,6.517093908
2,64,64,16,0.3,0.0005,64,300,1.476786306,1.9644393,6.889926936
2,64,64,16,0.3,0.0005,64,450,1.766946709,2.305305186,7.934559721
2,64,64,16,0.3,0.0005,64,600,1.939691221,2.531232738,8.654794986
3,128,32,32,0.2,0.001,64,150,2.777297153,3.074521352,14.60515775
3,128,32,32,0.2,0.001,64,300,3.004465257,3.294006652,15.32209064
3,128,32,32,0.2,0.001,64,450,2.44622503,2.883472337,12.30156178
3,128,32,32,0.2,0.001,64,600,2.242766296,2.785355808,11.3150721
4,64,32,16,0.3,0.0005,64,150,1.369001211,1.707122224,7.356682602
4,64,32,16,0.3,0.0005,64,300,1.426699771,1.775677265,7.400195247
4,64,32,16,0.3,0.0005,64,450,1.274944398,1.626094939,6.334315272
4,64,32,16,0.3,0.0005,64,600,1.305074308,1.626142509,6.40606498
5,64,32,32,0.3,0.0005,64,150,1.579402246,2.043929788,8.898382567
5,64,32,32,0.3,0.0005,64,300,1.507211891,1.931579509,8.11717616
5,64,32,32,0.3,0.0005,64,450,1.340082016,1.771028656,6.805986515
5,64,32,32,0.3,0.0005,64,600,1.243806957,1.651526148,6.262628412
6,128,64,16,0.2,0.001,64,150,2.070702006,2.694917652,11.47913486
6,128,64,16,0.2,0.001,64,300,2.496965652,3.016493933,13.13476831
6,128,64,16,0.2,0.001,64,450,2.06713505,2.62535153,10.62020644
6,128,64,16,0.2,0.001,64,600,1.794183049,2.371586536,9.181168432
7,64,32,16,0.2,0.0005,64,150,1.380872983,1.944142825,7.662092548
7,64,32,16,0.2,0.0005,64,300,1.299978408,1.798770386,6.76707099
7,64,32,16,0.2,0.0005,64,450,1.483421431,1.901704765,7.137473909
7,64,32,16,0.2,0.0005,64,600,1.391752631,1.790314503,6.692539266
8,128,64,32,0.3,0.0005,64,150,2.450261287,2.704100017,12.82286967
8,128,64,32,0.3,0.0005,64,300,2.258022453,2.548638554,11.66271952
8,128,64,32,0.3,0.0005,64,450,2.059919019,2.418128262,10.302833
8,128,64,32,0.3,0.0005,64,600,2.217439843,2.628459927,10.98842107
9,64,64,16,0.2,0.0005,64,150,2.131821956,2.449052037,11.35532203
9,64,64,16,0.2,0.0005,64,300,1.947631337,2.277715744,10.11970316
9,64,64,16,0.2,0.0005,64,450,1.787856154,2.174216641,8.941266039
9,64,64,16,0.2,0.0005,64,600,1.847368126,2.214536432,9.086184453
10,64,64,32,0.2,0.0005,64,150,1.866805255,2.363844837,10.34577426
10,64,64,32,0.2,0.0005,64,300,1.831546346,2.291317351,9.797467816
10,64,64,32,0.2,0.0005,64,450,1.609811698,2.076261635,8.253746273
10,64,64,32,0.2,0.0005,64,600,1.542403414,1.977558348,7.798838864
11,128,64,32,0.3,0.001,64,150,2.315853328,2.703700696,12.32944831
11,128,64,32,0.3,0.001,64,300,1.9925295,2.426800781,10.41596512
11,128,64,32,0.3,0.001,64,450,1.977339206,2.436082637,9.910077507
11,128,64,32,0.3,0.001,64,600,2.133983995,2.820283151,10.77468243
12,64,64,32,0.3,0.001,64,150,1.359125948,1.583299451,7.045475155
12,64,64,32,0.3,0.001,64,300,1.649157623,1.934144959,8.136697827
12,64,64,32,0.3,0.001,64,450,1.826728711,2.169954394,8.722462269
12,64,64,32,0.3,0.001,64,600,2.068296939,2.537813436,10.0428861
13,128,32,16,0.2,0.0005,64,150,2.062487122,2.282713382,10.86109648
13,128,32,16,0.2,0.0005,64,300,2.309188035,2.617275541,11.75269377
13,128,32,16,0.2,0.0005,64,450,2.319650737,2.679162581,11.32561102
13,128,32,16,0.2,0.0005,64,600,2.395366375,2.786931562,11.73266523
14,128,64,32,0.2,0.0005,64,150,1.904994464,2.496286717,10.24558793
14,128,64,32,0.2,0.0005,64,300,2.090344315,2.700880603,10.91910407
14,128,64,32,0.2,0.0005,64,450,1.994335739,2.659675643,10.08164367
14,128,64,32,0.2,0.0005,64,600,1.990189396,2.620159891,9.947652714
